,Unnamed: 0,LengthJumper,MetricPatternJumper,LengthDataset,MetricPatternDataset
0,0,14,"[2, 4, 6, 9, 13]",14,"[2, 4, 6, 9, 13]"
1,1,14,"[1, 3, 6, 9, 10, 13]",14,"[1, 3, 6, 9, 13]"
2,2,14,"[1, 4, 6, 9, 13]",14,"[1, 3, 6, 9, 13]"
3,3,14,"[2, 4, 6, 9, 13]",14,"[4, 6, 9, 13]"
4,4,14,"[2, 6, 10, 13]",14,"[2, 6, 9, 13]"
5,5,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
6,6,14,"[2, 6, 8, 11, 13]",14,"[2, 6, 8, 11, 13]"
7,7,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
8,8,14,"[4, 6, 10, 13]",14,"[4, 6, 10, 13]"
9,9,14,"[2, 6, 8, 11, 13]",14,"[2, 6, 8, 11, 13]"
10,10,14,"[2, 3, 6, 9, 13]",14,"[2, 6, 9, 13]"
11,11,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
12,12,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
13,13,14,"[2, 3, 6, 10, 13]",14,"[2, 3, 6, 10, 13]"
14,14,14,"[1, 6, 9, 13]",14,"[2, 6, 9, 13]"
15,15,14,"[1, 6, 10, 13]",14,"[1, 6, 9, 13]"
16,16,14,"[4, 6, 8, 11, 13]",14,"[4, 6, 8, 11, 13]"
17,17,14,"[1, 3, 6, 9, 13]",14,"[1, 3, 6, 9, 13]"
18,18,14,"[3, 6, 11, 13]",14,"[3, 6, 11, 13]"
19,19,14,"[2, 6, 9, 11, 13]",14,"[2, 6, 9, 11, 13]"
20,20,14,"[1, 4, 6, 8, 10, 13]",14,"[1, 4, 6, 8, 10, 13]"
21,21,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
22,22,14,"[2, 3, 6, 9, 13]",14,"[2, 3, 6, 9, 13]"
23,23,14,"[2, 4, 6, 9, 13]",14,"[2, 4, 6, 9, 13]"
24,24,14,"[4, 6, 10, 13]",14,"[4, 6, 10, 13]"
